platform,globalsale
Finance & Investments,8
Fashion & Retail,4
Technology,13
Food & Beverage,1
Media & Entertainment,1
Real Estate,1
Metals & Mining,2
Healthcare,4
Automotive,1
Diversified,3
Manufacturing,2
